split,feature,missing_count,missing_rate
cleveland_train,age,0,0.0
cleveland_train,sex,0,0.0
cleveland_train,cp,0,0.0
cleveland_train,trestbps,0,0.0
cleveland_train,chol,0,0.0
cleveland_train,fbs,0,0.0
cleveland_train,restecg,0,0.0
cleveland_train,thalach,0,0.0
cleveland_train,exang,0,0.0
cleveland_train,oldpeak,0,0.0
cleveland_train,slope,0,0.0
cleveland_train,ca,0,0.0
cleveland_train,thal,1,0.0047169811320754715
cleveland_validation,age,0,0.0
cleveland_validation,sex,0,0.0
cleveland_validation,cp,0,0.0
cleveland_validation,trestbps,0,0.0
cleveland_validation,chol,0,0.0
cleveland_validation,fbs,0,0.0
cleveland_validation,restecg,0,0.0
cleveland_validation,thalach,0,0.0
cleveland_validation,exang,0,0.0
cleveland_validation,oldpeak,0,0.0
cleveland_validation,slope,0,0.0
cleveland_validation,ca,3,0.06666666666666667
cleveland_validation,thal,1,0.022222222222222223
cleveland_test,age,0,0.0
cleveland_test,sex,0,0.0
cleveland_test,cp,0,0.0
cleveland_test,trestbps,0,0.0
cleveland_test,chol,0,0.0
cleveland_test,fbs,0,0.0
cleveland_test,restecg,0,0.0
cleveland_test,thalach,0,0.0
cleveland_test,exang,0,0.0
cleveland_test,oldpeak,0,0.0
cleveland_test,slope,0,0.0
cleveland_test,ca,1,0.021739130434782608
cleveland_test,thal,0,0.0
hungarian,age,0,0.0
hungarian,sex,0,0.0
hungarian,cp,0,0.0
hungarian,trestbps,1,0.003401360544217687
hungarian,chol,23,0.0782312925170068
hungarian,fbs,8,0.027210884353741496
hungarian,restecg,1,0.003401360544217687
hungarian,thalach,1,0.003401360544217687
hungarian,exang,1,0.003401360544217687
hungarian,oldpeak,0,0.0
hungarian,slope,190,0.6462585034013606
hungarian,ca,291,0.9897959183673469
hungarian,thal,266,0.9047619047619048
swiss,age,0,0.0
swiss,sex,0,0.0
swiss,cp,0,0.0
swiss,trestbps,2,0.016260162601626018
swiss,chol,0,0.0
swiss,fbs,75,0.6097560975609756
swiss,restecg,1,0.008130081300813009
swiss,thalach,1,0.008130081300813009
swiss,exang,1,0.008130081300813009
swiss,oldpeak,6,0.04878048780487805
swiss,slope,17,0.13821138211382114
swiss,ca,118,0.959349593495935
swiss,thal,52,0.42276422764227645
