split,model,metric,without_coral,with_coral,delta
cleveland_test,Logistic Regression,roc_auc,0.9485714285714286,0.9428571428571428,-0.005714285714285783
cleveland_test,Logistic Regression,average_precision,0.9255303190674711,0.9190294578534202,-0.0065008612140509126
cleveland_test,Logistic Regression,f1,0.8636363636363636,0.8571428571428571,-0.006493506493506551
cleveland_test,Logistic Regression,sensitivity,0.9047619047619048,0.8571428571428571,-0.04761904761904767
cleveland_test,Logistic Regression,specificity,0.84,0.88,0.040000000000000036
cleveland_test,XGBoost + Optuna,roc_auc,0.9352380952380952,0.8952380952380952,-0.040000000000000036
cleveland_test,XGBoost + Optuna,average_precision,0.9148834316268377,0.8424566315372861,-0.0724268000895516
cleveland_test,XGBoost + Optuna,f1,0.8372093023255814,0.8421052631578947,0.004895960832313251
cleveland_test,XGBoost + Optuna,sensitivity,0.8571428571428571,0.7619047619047619,-0.09523809523809523
cleveland_test,XGBoost + Optuna,specificity,0.84,0.96,0.12
cleveland_test,Small MLP,roc_auc,0.9352380952380952,0.9180952380952381,-0.017142857142857126
cleveland_test,Small MLP,average_precision,0.9297393046776499,0.8979514863443439,-0.03178781833330602
cleveland_test,Small MLP,f1,0.7906976744186046,0.8181818181818182,0.02748414376321362
cleveland_test,Small MLP,sensitivity,0.8095238095238095,0.8571428571428571,0.04761904761904756
cleveland_test,Small MLP,specificity,0.8,0.8,0.0
hungarian,Logistic Regression,roc_auc,0.8693797671617823,0.8670212765957448,-0.002358490566037541
hungarian,Logistic Regression,average_precision,0.8301654588761973,0.8055601819957928,-0.02460527688040448
hungarian,Logistic Regression,f1,0.6628571428571428,0.7649769585253456,0.10211981566820283
hungarian,Logistic Regression,sensitivity,0.5471698113207547,0.7830188679245284,0.23584905660377364
hungarian,Logistic Regression,specificity,0.9414893617021277,0.851063829787234,-0.09042553191489366
hungarian,XGBoost + Optuna,roc_auc,0.875652348454436,0.8753512645523885,-0.00030108390204741653
hungarian,XGBoost + Optuna,average_precision,0.8336805607446515,0.7997398158752052,-0.033940744869446315
hungarian,XGBoost + Optuna,f1,0.7204301075268817,0.6265060240963856,-0.09392408343049619
hungarian,XGBoost + Optuna,sensitivity,0.6320754716981132,0.49056603773584906,-0.14150943396226412
hungarian,XGBoost + Optuna,specificity,0.9308510638297872,0.9574468085106383,0.02659574468085113
hungarian,Small MLP,roc_auc,0.8327478924126857,0.8484544359694901,0.015706543556804453
hungarian,Small MLP,average_precision,0.7673679386559211,0.7772755642973243,0.009907625641403128
hungarian,Small MLP,f1,0.5131578947368421,0.7150259067357513,0.20186801199890914
hungarian,Small MLP,sensitivity,0.36792452830188677,0.6509433962264151,0.2830188679245283
hungarian,Small MLP,specificity,0.9627659574468085,0.9042553191489362,-0.058510638297872286
swiss,Logistic Regression,roc_auc,0.6543478260869565,0.6413043478260869,-0.013043478260869601
swiss,Logistic Regression,average_precision,0.9540986080874885,0.9393512319220224,-0.014747376165466064
swiss,Logistic Regression,f1,0.573170731707317,0.6779661016949152,0.1047953699875982
swiss,Logistic Regression,sensitivity,0.40869565217391307,0.5217391304347826,0.11304347826086952
swiss,Logistic Regression,specificity,0.75,0.75,0.0
swiss,XGBoost + Optuna,roc_auc,0.7195652173913044,0.6282608695652174,-0.09130434782608698
swiss,XGBoost + Optuna,average_precision,0.9695060792835452,0.9575950151550856,-0.011911064128459548
swiss,XGBoost + Optuna,f1,0.631578947368421,0.40816326530612246,-0.22341568206229856
swiss,XGBoost + Optuna,sensitivity,0.46956521739130436,0.2608695652173913,-0.20869565217391306
swiss,XGBoost + Optuna,specificity,0.75,0.75,0.0
swiss,Small MLP,roc_auc,0.6065217391304347,0.6293478260869565,0.022826086956521774
swiss,Small MLP,average_precision,0.9588322635836416,0.9500709908647292,-0.00876127271891236
swiss,Small MLP,f1,0.203125,0.627906976744186,0.42478197674418605
swiss,Small MLP,sensitivity,0.11304347826086956,0.46956521739130436,0.3565217391304348
swiss,Small MLP,specificity,1.0,0.625,-0.375
